"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Females.b.","Total.Persons"
"Fowler","Participation rate (%)",75.4,73.4,69.4,66.3,66,68.8,72,74.5,76.8,78.4,80.7,81.9,79.5,76.2,71.6,73.4,72.4
"Gilmore","Total participants",1062,2441,2398,2409,2487,2900,3459,3917,5099,5482,5690,4844,3365,2266,2170,49989,96011
"Gilmore","Eligible participants",1360,3435,3383,3345,3402,3839,4381,4730,5905,6138,6273,5307,3706,2565,2732,60501,119120
"Gilmore","Participation rate (%)",78.1,71.1,70.9,72,73.1,75.5,79,82.8,86.4,89.3,90.7,91.3,90.8,88.3,79.4,82.6,80.6
"Grayndler","Total participants",790,3480,5230,5423,5275,4992,4733,3834,3554,3052,2703,1967,1339,969,915,48256,91773
"Grayndler","Eligible participants",896,4012,5948,6302,6172,5757,5410,4398,4041,3415,3010,2232,1584,1155,1215,55547,107847
"Grayndler","Participation rate (%)",88.2,86.7,87.9,86.1,85.5,86.7,87.5,87.2,87.9,89.4,89.8,88.1,84.5,83.9,75.3,86.9,85.1
"Greenway","Total participants",1297,3323,3182,4052,4615,4264,4028,3524,3398,3034,2644,1951,1177,834,776,42099,82213
"Greenway","Eligible participants",1630,4374,4276,5719,6419,5693,5154,4307,4090,3551,2988,2200,1360,989,991,53741,107466
"Greenway","Participation rate (%)",79.6,76,74.4,70.9,71.9,74.9,78.2,81.8,83.1,85.4,88.5,88.7,86.5,84.3,78.3,78.3,76.5
"Hughes","Total participants",1362,3497,3331,3527,3808,4134,4328,3945,4160,3638,3167,2741,1610,1073,1209,45530,88080
"Hughes","Eligible participants",1617,4206,4066,4288,4676,5015,5192,4606,4673,4026,3454,2952,1760,1221,1480,53232,105118
"Hughes","Participation rate (%)",84.2,83.1,81.9,82.3,81.4,82.4,83.4,85.6,89,90.4,91.7,92.9,91.5,87.9,81.7,85.5,83.8
"Hume","Total participants",1357,3356,3384,3463,3355,3774,4078,4036,4158,3792,3633,2834,1777,1177,1192,45366,87768
"Hume","Eligible participants",1705,4475,4582,4710,4516,4927,5162,4859,4857,4347,4029,3126,2001,1389,1510,56195,111225
"Hume","Participation rate (%)",79.6,75,73.9,73.5,74.3,76.6,79,83.1,85.6,87.2,90.2,90.7,88.8,84.7,78.9,80.7,78.9
"Hunter","Total participants",1329,3263,3445,3553,3220,3545,3912,3997,4359,4310,4045,3395,2306,1687,1572,47938,92111
"Hunter","Eligible participants",1717,4604,4778,4798,4455,4634,4935,4818,5081,4861,4482,3722,2555,1930,1969,59339,117364
"Hunter","Participation rate (%)",77.4,70.9,72.1,74.1,72.3,76.5,79.3,83,85.8,88.7,90.2,91.2,90.3,87.4,79.8,80.8,78.5
"Kingsford Smith","Total participants",1207,3571,3790,4194,4320,4166,4263,3802,3556,3191,2897,2647,1972,1464,1651,46691,88032
"Kingsford Smith","Eligible participants",1420,4351,4768,5369,5553,5271,5220,4595,4195,3740,3356,3037,2276,1739,2179,57069,110431
"Kingsford Smith","Participation rate (%)",85,82.1,79.5,78.1,77.8,79,81.7,82.7,84.8,85.3,86.3,87.2,86.6,84.2,75.8,81.8,79.7
"Lindsay","Total participants",1365,4005,4203,4201,3931,3949,3909,3618,3919,3619,3215,2347,1553,1013,904,45751,87600
"Lindsay","Eligible participants",1768,5571,5843,5938,5349,5170,4970,4445,4609,4149,3602,2605,1752,1196,1173,58140,114555
"Lindsay","Participation rate (%)",77.2,71.9,71.9,70.7,73.5,76.4,78.7,81.4,85,87.2,89.3,90.1,88.6,84.7,77.1,78.7,76.5
"Lyne","Total participants",1023,2165,1971,2167,2186,2820,3548,3921,4964,5250,5615,4985,3429,2314,2193,48551,93271
"Lyne","Eligible participants",1336,3053,2847,2993,3101,3732,4505,4750,5741,5867,6138,5389,3742,2602,2640,58436,114697
"Lyne","Participation rate (%)",76.6,70.9,69.2,72.4,70.5,75.6,78.8,82.5,86.5,89.5,91.5,92.5,91.6,88.9,83.1,83.1,81.3
"Macarthur","Total participants",1320,3898,3922,4061,3687,3604,3581,3676,3936,3637,3151,2160,1304,835,664,43436,83458
"Macarthur","Eligible participants",1755,5455,5542,5814,5293,4858,4614,4603,4748,4252,3611,2455,1505,988,842,56335,110729
"Macarthur","Participation rate (%)",75.2,71.5,70.8,69.8,69.7,74.2,77.6,79.9,82.9,85.5,87.3,88,86.6,84.5,78.9,77.1,75.4
"Mackellar","Total participants",1349,3136,2639,2910,3524,4273,4711,4304,4309,3870,3680,3509,2397,1741,2059,48411,91888
"Mackellar","Eligible participants",1544,3758,3218,3612,4286,5173,5552,5009,4869,4305,4019,3823,2614,1955,2539,56277,109388
"Mackellar","Participation rate (%)",87.4,83.4,82,80.6,82.2,82.6,84.9,85.9,88.5,89.9,91.6,91.8,91.7,89.1,81.1,86,84
"Macquarie","Total participants",1302,3295,2973,3036,3211,3724,4326,4099,4526,4147,3943,3140,1944,1280,1209,46155,88193
"Macquarie","Eligible participants",1579,4098,3829,3811,4025,4547,5186,4757,5137,4604,4310,3449,2136,1448,1484,54400,106683
"Macquarie","Participation rate (%)",82.5,80.4,77.6,79.7,79.8,81.9,83.4,86.2,88.1,90.1,91.5,91,91,88.4,81.5,84.8,82.7
"McMahon","Total participants",1280,3741,3644,3538,3594,3397,3651,3814,3869,3423,3036,2328,1643,1105,1108,43171,83355
"McMahon","Eligible participants",1622,4929,4930,4941,4883,4450,4641,4641,4652,4033,3507,2624,1906,1326,1444,54529,107076
"McMahon","Participation rate (%)",78.9,75.9,73.9,71.6,73.6,76.3,78.7,82.2,83.2,84.9,86.6,88.7,86.2,83.3,76.7,79.2,77.8
"Mitchell","Total participants",1409,3483,2709,2950,3932,4464,4700,3929,3802,3410,3288,2777,1679,1063,994,44589,85940
"Mitchell","Eligible participants",1733,4287,3438,3914,5104,5625,5740,4706,4374,3861,3614,3025,1820,1202,1231,53674,105376
"Mitchell","Participation rate (%)",81.3,81.2,78.8,75.4,77,79.4,81.9,83.5,86.9,88.3,91,91.8,92.3,88.4,80.7,83.1,81.6
"Newcastle","Total participants",1349,4727,4569,4094,3822,3794,4185,4038,4274,3810,3247,2680,1950,1601,1847,49987,95389
"Newcastle","Eligible participants",1630,5881,5522,4988,4666,4609,4863,4606,4837,4213,3553,2942,2130,1780,2250,58470,115359
"Newcastle","Participation rate (%)",82.8,80.4,82.7,82.1,81.9,82.3,86.1,87.7,88.4,90.4,91.4,91.1,91.5,89.9,82.1,85.5,82.7
"New England","Total participants",1172,2726,2569,2678,2658,3041,3565,3765,4470,4213,4079,3564,2715,1833,1799,44847,85188
"New England","Eligible participants",1604,4206,3953,3950,3821,4105,4651,4675,5291,4796,4501,3916,3017,2108,2217,56811,110769
"New England","Participation rate (%)",73.1,64.8,65,67.8,69.6,74.1,76.7,80.5,84.5,87.8,90.6,91,90,87,81.1,78.9,76.9
"North Sydney","Total participants",1019,2973,3817,4394,4607,4396,4389,3919,3790,3555,3335,2747,1895,1296,1710,47842,90479
