"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Males.b.","Total.Persons"
"Higgins","Eligible participants",1142,4033,5504,5490,4580,4167,4494,4006,3815,3175,2963,2451,1883,1228,1228,50159,106229
"Higgins","Participation rate (%)",85.2,81,79.4,76.9,77.9,79.7,83.1,83.7,86.9,88,88.9,89.5,87.7,87,81.2,82.7,84.4
"Holt","Total participants",1296,4121,3821,4286,4565,4177,4172,3903,3978,3343,2750,2042,1300,778,511,45043,93311
"Holt","Eligible participants",1679,5788,5696,6535,6611,5782,5502,4969,4877,4011,3224,2319,1487,911,665,60056,121571
"Holt","Participation rate (%)",77.2,71.2,67.1,65.6,69.1,72.2,75.8,78.5,81.6,83.3,85.3,88.1,87.4,85.4,76.8,75,76.8
"Hotham","Total participants",889,2953,2559,2778,3104,3279,3533,3338,3421,2909,2591,2297,1777,1318,1265,38011,80813
"Hotham","Eligible participants",1131,3926,3554,3945,4296,4395,4632,4260,4156,3500,3004,2615,2053,1539,1576,48582,100545
"Hotham","Participation rate (%)",78.6,75.2,72,70.4,72.3,74.6,76.3,78.4,82.3,83.1,86.3,87.8,86.6,85.6,80.3,78.2,80.4
"Indi","Total participants",859,2443,2325,2405,2492,2764,3292,3527,4177,4349,4211,3436,2287,1359,1109,41035,86812
"Indi","Eligible participants",1105,3644,3422,3399,3394,3698,4309,4419,4969,5006,4715,3817,2538,1549,1312,51296,105746
"Indi","Participation rate (%)",77.7,67,67.9,70.8,73.4,74.7,76.4,79.8,84.1,86.9,89.3,90,90.1,87.7,84.5,80,82.1
"Isaacs","Total participants",1002,3118,2891,3161,3435,3753,3999,3711,3665,3158,2835,2308,1534,984,847,40401,86983
"Isaacs","Eligible participants",1280,4208,4026,4443,4641,4941,5130,4642,4449,3724,3277,2666,1783,1166,1066,51442,107675
"Isaacs","Participation rate (%)",78.3,74.1,71.8,71.1,74,76,78,79.9,82.4,84.8,86.5,86.6,86,84.4,79.5,78.5,80.8
"Jagajaga","Total participants",1136,3248,3049,3093,3272,3608,3790,3516,3716,3455,3114,2478,1656,1085,928,41144,88806
"Jagajaga","Eligible participants",1351,4098,3920,3952,4164,4460,4650,4231,4318,3913,3451,2749,1836,1223,1119,49435,104169
"Jagajaga","Participation rate (%)",84.1,79.3,77.8,78.3,78.6,80.9,81.5,83.1,86.1,88.3,90.2,90.1,90.2,88.7,82.9,83.2,85.3
"Kooyong","Total participants",1247,3866,3481,2778,2695,2797,3458,3685,3550,3121,2809,2325,1622,1145,1213,39792,86552
"Kooyong","Eligible participants",1471,4768,4384,3592,3345,3427,4104,4323,4015,3560,3097,2570,1773,1253,1442,47124,100699
"Kooyong","Participation rate (%)",84.8,81.1,79.4,77.3,80.6,81.6,84.3,85.2,88.4,87.7,90.7,90.5,91.5,91.4,84.1,84.4,86
"Lalor","Total participants",1322,3904,3815,5413,6129,5284,4807,4270,3876,3255,2609,1908,1169,638,401,48800,100836
"Lalor","Eligible participants",1729,5387,5554,8113,8963,7244,6244,5404,4737,3870,3018,2186,1341,744,508,65042,130963
"Lalor","Participation rate (%)",76.5,72.5,68.7,66.7,68.4,72.9,77,79,81.8,84.1,86.4,87.3,87.2,85.8,78.9,75,77
"La Trobe","Total participants",1411,3863,3256,3159,3581,3987,4443,4178,4032,3442,2872,2133,1432,798,635,43222,91901
"La Trobe","Eligible participants",1763,5115,4391,4250,4736,5120,5600,5102,4770,3963,3248,2375,1576,888,749,53646,110903
"La Trobe","Participation rate (%)",80,75.5,74.2,74.3,75.6,77.9,79.3,81.9,84.5,86.9,88.4,89.8,90.9,89.9,84.8,80.6,82.9
"Mallee","Total participants",872,2198,2180,2073,2050,2296,2837,3262,3830,3852,3711,3028,2241,1520,1246,37196,78649
"Mallee","Eligible participants",1152,3527,3555,3219,3001,3290,3836,4212,4750,4535,4271,3393,2544,1712,1517,48514,99856
"Mallee","Participation rate (%)",75.7,62.3,61.3,64.4,68.3,69.8,74,77.4,80.6,84.9,86.9,89.2,88.1,88.8,82.1,76.7,78.8
"Maribyrnong","Total participants",965,3316,3411,3465,3305,3367,3779,3587,3607,3311,2894,2409,1831,1373,1095,41715,89226
"Maribyrnong","Eligible participants",1211,4563,4788,4933,4702,4618,5093,4638,4529,3980,3403,2781,2105,1611,1408,54363,112988
"Maribyrnong","Participation rate (%)",79.7,72.7,71.2,70.2,70.3,72.9,74.2,77.3,79.6,83.2,85,86.6,87,85.2,77.8,76.7,79
"McEwen","Total participants",1485,4153,4426,4979,5190,5092,5144,4723,4576,3985,3578,2683,1651,869,594,53128,113089
"McEwen","Eligible participants",1889,5677,6235,6921,7125,6707,6582,5872,5555,4609,4029,2971,1842,1005,726,67745,140055
"McEwen","Participation rate (%)",78.6,73.2,71,71.9,72.8,75.9,78.2,80.4,82.4,86.5,88.8,90.3,89.6,86.5,81.8,78.4,80.7
"McMillan","Total participants",1098,3079,3079,3269,3191,3259,3706,3791,4158,4192,4206,3619,2522,1495,1131,45795,98351
"McMillan","Eligible participants",1409,4442,4582,4751,4369,4374,4797,4701,4967,4809,4694,3963,2791,1685,1329,57663,120754
"McMillan","Participation rate (%)",77.9,69.3,67.2,68.8,73,74.5,77.3,80.6,83.7,87.2,89.6,91.3,90.4,88.7,85.1,79.4,81.4
"Melbourne","Total participants",715,3938,7292,7199,5406,3971,3469,3053,2862,2501,2149,1662,973,589,529,46308,97308
"Melbourne","Eligible participants",921,5043,9030,9047,6818,5036,4302,3731,3427,2953,2493,1898,1165,755,692,57311,117462
"Melbourne","Participation rate (%)",77.6,78.1,80.8,79.6,79.3,78.9,80.6,81.8,83.5,84.7,86.2,87.6,83.5,78,76.4,80.8,82.8
"Melbourne Ports","Total participants",624,2550,4063,4874,4227,3749,3572,3124,3193,2772,2671,2084,1272,782,730,40287,86310
"Melbourne Ports","Eligible participants",743,3251,5329,6450,5571,4849,4426,3800,3778,3274,3033,2362,1481,958,982,50287,105055
"Melbourne Ports","Participation rate (%)",84,78.4,76.2,75.6,75.9,77.3,80.7,82.2,84.5,84.7,88.1,88.2,85.9,81.6,74.3,80.1,82.2
"Menzies","Total participants",1181,3213,2634,2170,2405,2765,3498,3552,3675,3074,2916,2710,2390,1571,1205,38959,83021
"Menzies","Eligible participants",1438,4108,3460,2954,3200,3544,4290,4273,4259,3573,3275,3008,2625,1784,1429,47220,98766
"Menzies","Participation rate (%)",82.1,78.2,76.1,73.5,75.2,78,81.5,83.1,86.3,86,89,90.1,91,88.1,84.3,82.5,84.1
"Murray","Total participants",1004,2435,2291,2226,2253,2608,3205,3363,4035,3902,4008,3391,2459,1580,1286,40046,84014
"Murray","Eligible participants",1329,3792,3552,3292,3278,3652,4255,4325,4880,4679,4573,3815,2785,1821,1549,51577,105574
"Murray","Participation rate (%)",75.5,64.2,64.5,67.6,68.7,71.4,75.3,77.8,82.7,83.4,87.6,88.9,88.3,86.8,83,77.6,79.6
"Scullin","Total participants",1159,3723,3551,3761,3762,3664,3912,3832,3735,3360,3032,2416,1564,1068,687,43226,90749
"Scullin","Eligible participants",1470,5039,4904,5345,5258,4917,4999,4825,4552,3950,3473,2744,1818,1267,872,55433,113566
"Scullin","Participation rate (%)",78.8,73.9,72.4,70.4,71.5,74.5,78.3,79.4,82.1,85.1,87.3,88,86,84.3,78.8,78,79.9
"Wannon","Total participants",939,2441,2108,1985,2092,2565,3044,3353,3847,4011,4019,3252,2209,1482,1101,38448,81212
"Wannon","Eligible participants",1230,3681,3216,2893,2971,3543,3953,4202,4643,4658,4534,3613,2442,1669,1323,48571,99781
"Wannon","Participation rate (%)",76.3,66.3,65.5,68.6,70.4,72.4,77,79.8,82.9,86.1,88.6,90,90.5,88.8,83.2,79.2,81.4
"Wills","Total participants",913,3665,5192,5534,4978,4296,4004,3444,3140,2532,2112,1671,1464,1249,1193,45387,98099
"Wills","Eligible participants",1111,4606,6573,6978,6267,5422,5059,4267,3777,3013,2464,1934,1738,1506,1540,56255,118268
"Wills","Participation rate (%)",82.2,79.6,79,79.3,79.4,79.2,79.1,80.7,83.1,84,85.7,86.4,84.2,82.9,77.5,80.7,82.9
"Victoria (Total)","Total participants",38720,118897,121875,126194,125877,128107,138049,133085,137064,126281,116846,96183,67240,43863,35922,1554205,3317755
"Victoria (Total)","Eligible participants",48852,161658,167708,173516,169904,168441,175707,164846,164299,147252,132643,107856,75569,50406,43869,1952528,4061389
"Victoria (Total)","Participation rate (%)",79.3,73.5,72.7,72.7,74.1,76.1,78.6,80.7,83.4,85.8,88.1,89.2,89,87,81.9,79.6,81.7
"Blair","Total participants",939,2792,2968,3098,2900,2959,3260,3290,3374,3133,2940,2240,1535,889,648,36965,78883
"Blair","Eligible participants",1357,4491,4666,4727,4323,4296,4373,4208,4141,3648,3346,2519,1731,1029,781,49636,102858
"Blair","Participation rate (%)",69.2,62.2,63.6,65.5,67.1,68.9,74.5,78.2,81.5,85.9,87.9,88.9,88.7,86.4,83,74.5,76.7
"Bonner","Total participants",1147,3003,2678,2975,3188,3528,3661,3651,3432,3037,2771,2295,1580,1065,898,38909,84239
"Bonner","Eligible participants",1459,4209,3768,4106,4278,4621,4580,4430,4048,3486,3123,2513,1745,1191,1033,48590,102220
"Bonner","Participation rate (%)",78.6,71.3,71.1,72.5,74.5,76.3,79.9,82.4,84.8,87.1,88.7,91.3,90.5,89.4,86.9,80.1,82.4
"Bowman","Total participants",1041,2826,2408,2563,2616,2948,3402,3562,3947,3744,3697,3028,1934,1228,935,39879,86376
"Bowman","Eligible participants",1384,4033,3586,3700,3683,4091,4390,4469,4762,4345,4119,3307,2122,1362,1118,50471,106067
"Bowman","Participation rate (%)",75.2,70.1,67.2,69.3,71,72.1,77.5,79.7,82.9,86.2,89.8,91.6,91.1,90.2,83.6,79,81.4
"Brisbane","Total participants",1058,4100,5422,5152,4202,3834,3987,3610,3297,2726,2258,1690,1038,626,545,43545,91733
"Brisbane","Eligible participants",1357,5676,7428,6870,5500,5013,5027,4368,3852,3128,2581,1880,1176,726,648,55230,112389
"Brisbane","Participation rate (%)",78,72.2,73,75,76.4,76.5,79.3,82.6,85.6,87.1,87.5,89.9,88.3,86.2,84.1,78.8,81.6
"Capricornia","Total participants",794,2243,2351,2736,2619,2809,3122,3367,3742,3419,3004,2280,1471,990,716,35663,74064
"Capricornia","Eligible participants",1164,3815,4071,4321,4082,4167,4438,4459,4626,4087,3476,2603,1674,1140,891,49014,98960
"Capricornia","Participation rate (%)",68.2,58.8,57.7,63.3,64.2,67.4,70.3,75.5,80.9,83.7,86.4,87.6,87.9,86.8,80.4,72.8,74.8
"Dawson","Total participants",795,2366,2476,2637,2681,2976,3391,3592,3965,3587,3141,2512,1647,977,691,37434,77343
"Dawson","Eligible participants",1120,4184,4322,4307,4258,4522,4840,4823,5071,4318,3676,2840,1872,1130,829,52112,104286
"Dawson","Participation rate (%)",71,56.5,57.3,61.2,63,65.8,70.1,74.5,78.2,83.1,85.4,88.5,88,86.5,83.4,71.8,74.2
"Dickson","Total participants",1145,2997,2772,2928,3231,3660,4056,3637,3673,3187,2892,2478,1384,658,462,39160,83384
"Dickson","Eligible participants",1512,4312,4023,4029,4418,4715,5107,4395,4281,3603,3222,2692,1511,732,557,49109,101911
"Dickson","Participation rate (%)",75.7,69.5,68.9,72.7,73.1,77.6,79.4,82.8,85.8,88.5,89.8,92.1,91.6,89.9,82.9,79.7,81.8
"Fadden","Total participants",976,2946,2614,2528,2783,3024,3385,3278,3454,3217,3326,3149,2004,1181,838,38703,84587
"Fadden","Eligible participants",1437,4669,4362,4120,4242,4473,4792,4343,4315,3848,3864,3518,2293,1352,1011,52639,110821
"Fadden","Participation rate (%)",67.9,63.1,59.9,61.4,65.6,67.6,70.6,75.5,80,83.6,86.1,89.5,87.4,87.4,82.9,73.5,76.3
"Fairfax","Total participants",959,2441,2364,2597,2769,3219,3662,3631,3914,3948,3981,3314,2254,1479,1106,41638,91238
"Fairfax","Eligible participants",1308,3743,3649,3836,3919,4426,4765,4568,4743,4544,4436,3654,2478,1637,1285,52991,112573
"Fairfax","Participation rate (%)",73.3,65.2,64.8,67.7,70.7,72.7,76.9,79.5,82.5,86.9,89.7,90.7,91,90.3,86.1,78.6,81
"Fisher","Total participants",882,2270,2091,2113,2461,2785,3257,3111,3450,3379,3721,3378,2363,1600,1204,38065,83064
"Fisher","Eligible participants",1187,3496,3220,3173,3555,3885,4297,3971,4194,3908,4134,3731,2583,1749,1391,48474,102689
"Fisher","Participation rate (%)",74.3,64.9,64.9,66.6,69.2,71.7,75.8,78.3,82.3,86.5,90,90.5,91.5,91.5,86.6,78.5,80.9
"Flynn","Total participants",707,2049,2406,2775,2758,3022,3459,3728,4159,3666,3213,2539,1661,891,542,37575,76065
"Flynn","Eligible participants",1070,3743,4040,4316,4312,4428,4775,4836,5088,4358,3694,2875,1839,1009,673,51056,100594
"Flynn","Participation rate (%)",66.1,54.7,59.6,64.3,64,68.2,72.4,77.1,81.7,84.1,87,88.3,90.3,88.3,80.5,73.6,75.6
"Forde","Total participants",909,2894,2819,2940,2933,3178,3220,3010,3157,2938,2862,2347,1432,809,525,35973,77753
"Forde","Eligible participants",1296,4597,4522,4575,4437,4534,4381,3962,3882,3495,3285,2639,1605,939,642,48791,102176
"Forde","Participation rate (%)",70.1,63,62.3,64.3,66.1,70.1,73.5,76,81.3,84.1,87.1,88.9,89.2,86.2,81.8,73.7,76.1
"Griffith","Total participants",1069,3982,4660,4702,4197,3966,4118,3567,3206,2587,2162,1486,1075,733,633,42143,90487
"Griffith","Eligible participants",1362,5487,6371,6355,5586,5119,5118,4257,3753,3021,2496,1680,1199,823,773,53400,110620
"Griffith","Participation rate (%)",78.5,72.6,73.1,74,75.1,77.5,80.5,83.8,85.4,85.6,86.6,88.5,89.7,89.1,81.9,78.9,81.8
"Groom","Total participants",978,2759,2758,2837,2637,2857,3281,3205,3612,3342,3112,2731,1902,1239,982,38232,82713
"Groom","Eligible participants",1368,4344,4258,4062,3712,3973,4212,3947,4215,3825,3480,2987,2067,1367,1154,48971,103430
"Groom","Participation rate (%)",71.5,63.5,64.8,69.8,71,71.9,77.9,81.2,85.7,87.4,89.4,91.4,92,90.6,85.1,78.1,80
"Herbert","Total participants",902,3055,3123,3086,2800,2979,3244,3137,3321,2956,2722,2098,1254,733,558,35968,76758
"Herbert","Eligible participants",1399,5669,5492,4994,4384,4560,4633,4239,4297,3604,3193,2376,1439,847,684,51813,106423
"Herbert","Participation rate (%)",64.5,53.9,56.9,61.8,63.9,65.3,70,74,77.3,82,85.2,88.3,87.1,86.5,81.6,69.4,72.1
"Hinkler","Total participants",624,1757,1590,1706,1909,2190,2581,2857,3490,3832,4516,4244,3043,1793,1234,37366,80505
"Hinkler","Eligible participants",969,2989,2767,2765,2968,3301,3632,3772,4302,4527,5099,4726,3385,2042,1459,48703,102930
"Hinkler","Participation rate (%)",64.4,58.8,57.5,61.7,64.3,66.3,71.1,75.7,81.1,84.6,88.6,89.8,89.9,87.8,84.6,76.7,78.2
"Kennedy","Total participants",514,1768,1833,1922,2043,2303,2927,3239,3678,3692,3597,2974,2033,1250,869,34642,71207
"Kennedy","Eligible participants",833,3423,3507,3498,3474,3934,4434,4617,4974,4694,4326,3514,2405,1491,1116,50240,101001
"Kennedy","Participation rate (%)",61.7,51.7,52.3,54.9,58.8,58.5,66,70.2,73.9,78.7,83.1,84.6,84.5,83.8,77.9,69,70.5
"Leichhardt","Total participants",651,2044,2242,2582,2682,3161,3468,3518,3736,3613,3162,2445,1348,801,506,35959,75595
"Leichhardt","Eligible participants",1073,4079,4546,4703,4721,5273,5529,5206,5107,4652,3904,2900,1628,946,646,54913,111436
"Leichhardt","Participation rate (%)",60.7,50.1,49.3,54.9,56.8,59.9,62.7,67.6,73.2,77.7,81,84.3,82.8,84.7,78.3,65.5,67.8
"Lilley","Total participants",960,3061,3467,3812,3661,3679,3703,3447,3384,2970,2694,2152,1640,1127,1041,40798,88880
"Lilley","Eligible participants",1267,4441,4912,5197,4908,4742,4664,4268,4060,3480,3049,2382,1817,1289,1272,51748,109129
"Lilley","Participation rate (%)",75.8,68.9,70.6,73.4,74.6,77.6,79.4,80.8,83.3,85.3,88.4,90.3,90.3,87.4,81.8,78.8,81.4
"Longman","Total participants",973,2633,2567,2584,2611,2914,3263,3305,3489,3528,3883,3379,2155,1219,874,39377,85102
"Longman","Eligible participants",1385,4212,4083,3960,3968,4252,4429,4338,4289,4163,4398,3768,2409,1347,1052,52053,109352
"Longman","Participation rate (%)",70.3,62.5,62.9,65.3,65.8,68.5,73.7,76.2,81.3,84.7,88.3,89.7,89.5,90.5,83.1,75.6,77.8
"Maranoa","Total participants",821,2135,2191,2181,2291,2677,3222,3530,3970,4054,4071,3376,2319,1387,1006,39231,81135
"Maranoa","Eligible participants",1171,3673,3590,3371,3412,3923,4305,4541,4834,4768,4680,3748,2561,1594,1189,51360,103688
"Maranoa","Participation rate (%)",70.1,58.1,61,64.7,67.1,68.2,74.8,77.7,82.1,85,87,90.1,90.6,87,84.6,76.4,78.2
"McPherson","Total participants",913,2592,2527,2639,2809,3088,3256,3163,3232,3135,3295,2695,1918,1219,1062,37543,82749
"McPherson","Eligible participants",1287,3982,3975,3971,4093,4442,4449,4044,4023,3726,3764,3015,2149,1391,1278,49589,105963
"McPherson","Participation rate (%)",70.9,65.1,63.6,66.5,68.6,69.5,73.2,78.2,80.3,84.1,87.5,89.4,89.3,87.6,83.1,75.7,78.1
"Moncrieff","Total participants",731,2459,2719,2648,2538,2728,2948,2909,3119,3140,3300,2964,2087,1318,1085,36693,79497
"Moncrieff","Eligible participants",1075,4036,4454,4374,4083,4056,4261,3991,3975,3797,3874,3353,2351,1496,1300,50476,104729
"Moncrieff","Participation rate (%)",68,60.9,61,60.5,62.2,67.3,69.2,72.9,78.5,82.7,85.2,88.4,88.8,88.1,83.5,72.7,75.9
"Moreton","Total participants",1052,3341,3167,3302,3258,3152,3235,2996,3105,2735,2494,2034,1383,861,820,36935,78051
"Moreton","Eligible participants",1417,4759,4590,4781,4567,4218,4205,3773,3751,3211,2884,2292,1550,973,969,47940,98071
"Moreton","Participation rate (%)",74.2,70.2,69,69.1,71.3,74.7,76.9,79.4,82.8,85.2,86.5,88.7,89.2,88.5,84.6,77,79.6
"Oxley","Total participants",1051,2963,2864,2986,3120,3174,3359,3145,3088,2674,2327,1810,1089,603,509,34762,74244
"Oxley","Eligible participants",1467,4527,4330,4435,4611,4470,4547,4158,3937,3224,2677,2061,1273,713,639,47069,97592
"Oxley","Participation rate (%)",71.6,65.5,66.1,67.3,67.7,71,73.9,75.6,78.4,82.9,86.9,87.8,85.5,84.6,79.7,73.9,76.1
"Petrie","Total participants",935,2637,2597,2952,3129,3238,3481,3287,3331,3181,3294,2823,1926,1248,1054,39113,86411
"Petrie","Eligible participants",1333,4162,4075,4376,4626,4523,4661,4138,4082,3702,3710,3117,2130,1411,1259,51305,109734
"Petrie","Participation rate (%)",70.1,63.4,63.7,67.5,67.6,71.6,74.7,79.4,81.6,85.9,88.8,90.6,90.4,88.4,83.7,76.2,78.7
"Rankin","Total participants",1014,2933,2868,3189,3265,3109,3238,3028,3204,3005,2796,2137,1219,615,427,36047,76428
"Rankin","Eligible participants",1435,4708,4661,5007,5106,4549,4404,4025,4021,3598,3240,2425,1411,724,541,49855,102547
"Rankin","Participation rate (%)",70.7,62.3,61.5,63.7,63.9,68.3,73.5,75.2,79.7,83.5,86.3,88.1,86.4,84.9,78.9,72.3,74.5
"Ryan","Total participants",1567,4357,3442,3025,3294,3676,4011,3557,3419,3011,2871,2346,1604,899,784,41863,89580
"Ryan","Eligible participants",1968,5936,4620,3933,4208,4531,4836,4243,3917,3374,3158,2555,1739,1006,900,50924,105803
"Ryan","Participation rate (%)",79.6,73.4,74.5,76.9,78.3,81.1,82.9,83.8,87.3,89.2,90.9,91.8,92.2,89.4,87.1,82.2,84.7
"Wide Bay","Total participants",693,1799,1617,1706,2041,2465,3166,3407,4066,4499,4847,4161,2702,1479,1079,39727,83891
"Wide Bay","Eligible participants",1004,2938,2667,2641,3060,3661,4310,4396,5060,5313,5510,4649,3009,1665,1255,51138,105536
"Wide Bay","Participation rate (%)",69,61.2,60.6,64.6,66.7,67.3,73.5,77.5,80.4,84.7,88,89.5,89.8,88.8,86,77.7,79.5
"Wright","Total participants",979,2547,2227,2404,2834,3288,3896,3905,4056,3658,3545,2927,1727,943,621,39557,83201
"Wright","Eligible participants",1363,3822,3376,3622,4107,4612,5210,4961,4911,4253,4030,3285,1930,1074,731,51287,105345
"Wright","Participation rate (%)",71.8,66.6,66,66.4,69,71.3,74.8,78.7,82.6,86,88,89.1,89.5,87.8,85,77.1,79
"Queensland (Total)","Total participants",27779,81749,81828,85305,86260,92586,102259,100669,106070,99593,96494,80032,52727,31860,24254,1149465,2455163
"Queensland (Total)","Eligible participants",38827,128155,127931,128125,126601,131310,137604,129746,130511,117700,110428,89604,59081,36195,29076,1520897,3150873
"Queensland (Total)","Participation rate (%)",71.5,63.8,64,66.6,68.1,70.5,74.3,77.6,81.3,84.6,87.4,89.3,89.2,88,83.4,75.6,77.9
"Adelaide","Total participants",949,3224,3870,3737,3329,3296,3534,3428,3687,3535,3181,2439,1583,1070,1065,41927,89757
"Adelaide","Eligible participants",1211,4467,5290,5114,4593,4433,4593,4359,4443,4073,3594,2716,1777,1235,1323,53221,110234
"Adelaide","Participation rate (%)",78.4,72.2,73.2,73.1,72.5,74.4,76.9,78.6,83,86.8,88.5,89.8,89.1,86.6,80.5,78.8,81.4
"Barker","Total participants",700,1914,1916,1992,2141,2403,3226,3473,4074,4202,4233,3500,2345,1517,1176,38812,81568
"Barker","Eligible participants",991,3296,3342,3333,3448,3712,4571,4683,5103,4971,4827,3889,2618,1721,1402,51907,105865
"Barker","Participation rate (%)",70.6,58.1,57.3,59.8,62.1,64.7,70.6,74.2,79.8,84.5,87.7,90,89.6,88.1,83.9,74.8,77
"Boothby","Total participants",1107,3190,2810,2708,2819,3268,3469,3465,3845,3653,3639,3024,1972,1366,1452,41787,90929
"Boothby","Eligible participants",1377,4261,3833,3623,3717,4209,4336,4238,4521,4139,4018,3290,2144,1529,1694,50929,107848
"Boothby","Participation rate (%)",80.4,74.9,73.3,74.7,75.8,77.6,80,81.8,85,88.3,90.6,91.9,92,89.3,85.7,82,84.3
"Grey","Total participants",562,1786,1863,1964,1966,2205,2856,3334,4006,4126,4009,3476,2405,1459,1072,37096,76821
"Grey","Eligible participants",836,3223,3359,3348,3330,3516,4282,4611,5151,4947,4565,3880,2673,1652,1294,50695,102148
"Grey","Participation rate (%)",67.2,55.4,55.5,58.7,59,62.7,66.7,72.3,77.8,83.4,87.8,89.6,90,88.3,82.8,73.2,75.2
"Hindmarsh","Total participants",907,3101,3090,2996,2974,3008,3497,3569,3743,3468,3351,3011,2042,1744,1629,42130,91833
"Hindmarsh","Eligible participants",1163,4266,4455,4270,4121,4048,4576,4504,4536,4011,3786,3333,2250,1946,1937,53202,112381
"Hindmarsh","Participation rate (%)",78,72.7,69.4,70.2,72.2,74.3,76.4,79.2,82.5,86.5,88.5,90.3,90.8,89.6,84.1,79.2,81.7
"Kingston","Total participants",1000,2910,3077,3348,3028,3127,3302,3265,3584,3545,3526,2800,1699,1027,849,40087,86682
"Kingston","Eligible participants",1302,4248,4462,4733,4258,4400,4501,4114,4270,4063,3931,3088,1903,1160,1022,51455,107446
"Kingston","Participation rate (%)",76.8,68.5,69,70.7,71.1,71.1,73.4,79.4,83.9,87.3,89.7,90.7,89.3,88.5,83.1,77.9,80.7
"Makin","Total participants",1000,2986,2814,2954,3114,3137,3454,3459,3437,3277,3307,2810,1953,1210,942,39854,85532
"Makin","Eligible participants",1348,4318,4173,4467,4507,4425,4670,4436,4205,3789,3699,3099,2160,1352,1134,51782,107523
"Makin","Participation rate (%)",74.2,69.2,67.4,66.1,69.1,70.9,74,78,81.7,86.5,89.4,90.7,90.4,89.5,83.1,77,79.5
"Mayo","Total participants",883,2375,2063,2078,2328,2700,3516,3512,4149,4256,4567,3991,2452,1537,1182,41589,88869
"Mayo","Eligible participants",1113,3231,2828,2827,3149,3665,4575,4453,4940,4897,5051,4345,2688,1702,1393,50857,106108
"Mayo","Participation rate (%)",79.3,73.5,72.9,73.5,73.9,73.7,76.9,78.9,84,86.9,90.4,91.9,91.2,90.3,84.9,81.8,83.8
"Port Adelaide","Total participants",986,3135,3292,3383,3233,3139,3731,3886,4009,3531,3019,2244,1490,1096,962,41136,87794
"Port Adelaide","Eligible participants",1368,4802,5013,5198,4875,4627,5184,5117,5110,4233,3551,2574,1732,1297,1194,55875,115047
"Port Adelaide","Participation rate (%)",72.1,65.3,65.7,65.1,66.3,67.8,72,75.9,78.5,83.4,85,87.2,86,84.5,80.6,73.6,76.3
"Sturt","Total participants",988,2873,2621,2558,2610,2965,3438,3334,3391,3040,2957,2837,2181,1578,1486,38857,85215
"Sturt","Eligible participants",1277,3870,3707,3651,3702,4016,4472,4279,4081,3537,3297,3129,2394,1765,1793,48970,104625
"Sturt","Participation rate (%)",77.4,74.2,70.7,70.1,70.5,73.8,76.9,77.9,83.1,85.9,89.7,90.7,91.1,89.4,82.9,79.3,81.4
"Wakefield","Total participants",965,3139,2997,3224,2782,2957,3497,3857,4066,3571,3148,2458,1777,1281,909,40628,86553
"Wakefield","Eligible participants",1339,5046,4988,5138,4372,4391,4940,5035,5049,4290,3615,2811,2001,1440,1119,55574,114355
"Wakefield","Participation rate (%)",72.1,62.2,60.1,62.7,63.6,67.3,70.8,76.6,80.5,83.2,87.1,87.4,88.8,89,81.2,73.1,75.7
"South Australia (Total)","Total participants",10047,30633,30413,30942,30324,32205,37520,38582,41991,40204,38937,32590,21899,14885,12724,443903,951553
"South Australia (Total)","Eligible participants",13325,45028,45450,45702,44072,45442,50700,49829,51409,46950,43934,36154,24340,16799,15305,574467,1193580
"South Australia (Total)","Participation rate (%)",75.4,68,66.9,67.7,68.8,70.9,74,77.4,81.7,85.6,88.6,90.1,90,88.6,83.1,77.3,79.7
"Brand","Total participants",990,2851,3143,3314,3166,2986,3434,3347,3229,2574,2394,2079,1461,913,629,36510,77628
"Brand","Eligible participants",1357,4573,4892,5128,4685,4382,4707,4320,3995,3131,2766,2335,1644,1057,747,49719,102094
"Brand","Participation rate (%)",73,62.3,64.2,64.6,67.6,68.1,73,77.5,80.8,82.2,86.6,89,88.9,86.4,84.2,73.4,76
"Burt","Total participants",1102,2978,3019,3552,3422,3093,3231,3135,3014,2832,2645,1995,1307,796,549,36670,77502
"Burt","Eligible participants",1504,4526,4713,5329,5224,4525,4448,4107,3769,3409,3061,2246,1473,894,650,49878,101699
"Burt","Participation rate (%)",73.3,65.8,64.1,66.7,65.5,68.4,72.6,76.3,80,83.1,86.4,88.8,88.7,89,84.5,73.5,76.2
"Canning","Total participants",896,2356,2339,2439,2346,2470,3087,3283,3436,3341,3734,3386,2485,1446,1029,38073,80719
"Canning","Eligible participants",1241,3685,3652,3747,3635,3669,4229,4275,4238,4007,4280,3768,2739,1622,1210,49997,102876
"Canning","Participation rate (%)",72.2,63.9,64,65.1,64.5,67.3,73,76.8,81.1,83.4,87.2,89.9,90.7,89.1,85,76.2,78.5
"Cowan","Total participants",1103,2896,2755,3194,3235,3190,3399,3274,3102,2787,2519,1962,1229,709,490,35844,75647
"Cowan","Eligible participants",1471,4197,4105,4620,4635,4419,4527,4246,3864,3345,2930,2228,1379,815,595,47376,96977
"Cowan","Participation rate (%)",75,69,67.1,69.1,69.8,72.2,75.1,77.1,80.3,83.3,86,88.1,89.1,87,82.4,75.7,78
